location_id,Name,long_deg,lon_min,lon_sec,lat_deg,lat_min,lat_sec,longitude,latitude,p_1880,p_1890,p_1900,p_1910,G_1880,S_1880,G_1890,S_1890,D_1900,S_1900,G_1910,S_1910,prob,places,
1,Carinthia,,,,,,,,,0,0,0,0,,,,,,,,,#DIV/0!,Eiskögele (west border),Err:509
2,Eiskögele (west border),12,39,20,47,5,59,12.6556,47.0997,0,0,0,0,,,,,,,,,#DIV/0!,bei Gr. Bärenkopf (north border),#N/A
3,bei Gr. Bärenkopf (north border),12,43,32,47,7,53,12.7256,47.1314,0,0,0,0,,,,,,,,,#DIV/0!,south border,#DIV/0!
4,south border,14,33,50,46,22,20,14.5639,46.3722,0,0,0,0,,,,,,,,,#DIV/0!,bei Jantschkifels (east border),#N/A
5,bei Jantschkifels (east border),15,3,55,46,39,5,15.0653,46.6514,0,0,0,0,,,,,,,,,#DIV/0!,Braunitzen,#N/A
6,Gerichtsbezirk Hermagor,,,,,,,,,0,0,0,0,,,,,,,,,#DIV/0!,Brugg,#N/A
7,Gemeinde Egg,,,,,,,,,1600,1508,1465,0,80,1520,90,1418,103,1362,0,0,0.05,Dellach,#DIV/0!
8,Braunitzen,13,24,36,46,37,22,13.41,46.6228,23,17,21,14,5,18,10,7,6,15,10,4,0.2173913043,Egg,#DIV/0!
9,Brugg,13,25,24,46,36,25,13.4233,46.6069,99,81,68,59,0,99,0,81,0,68,0,59,0,Eggforst,#DIV/0!
10,Dellach,13,26,40,46,36,22,13.4444,46.6061,142,137,126,114,2,140,0,137,3,123,1,113,0.014084507,Fritzendorf,0
11,Egg,13,24,9,46,36,48,13.4025,46.6133,257,232,196,196,17,240,9,223,17,179,36,160,0.0661478599,Götzing,#DIV/0!
12,Eggforst,13,23,47,46,37,41,13.3964,46.6281,14,13,9,12,14,0,13,0,9,0,12,0,1,Grafenau,#DIV/0!
13,Fritzendorf,13,23,21,46,37,7,13.3892,46.6186,90,88,85,84,0,90,5,83,3,82,2,82,0,Kreuth (ob Mellweg),#DIV/0!
14,Götzing,13,24,53,46,36,51,13.4147,46.6142,37,32,25,34,2,35,15,17,11,14,17,17,0.0540540541,Latschach,#DIV/0!
15,Grafenau,13,25,25,46,36,1,13.4236,46.6003,17,23,13,12,0,17,0,23,0,13,0,12,0,Mellach,#DIV/0!
16,Kreuth (ob Mellweg),13,26,38,46,36,54,13.4439,46.615,56,59,68,62,0,56,0,59,0,68,0,62,0,Mellweg,#DIV/0!
17,Latschach,13,27,43,46,36,35,13.4619,46.6097,1881,1891,1901,1911,0,98,0,89,0,88,1,78,0,Micheldorf,#DIV/0!
18,Luschau,x,,,,,,,,16,9,19,9,16,0,9,0,17,2,9,0,1,Nampolach,#DIV/0!
19,Mellach,13,24,54,46,36,28,13.415,46.6078,64,66,72,54,0,64,0,66,0,72,0,54,0,Passriach,#DIV/0!
20,Mellweg,13,26,32,46,36,30,13.4422,46.6083,122,127,128,103,0,122,5,122,9,119,8,95,0,Potschach,#DIV/0!
21,Micheldorf,13,23,33,46,36,56,13.3925,46.6156,185,194,188,162,9,176,5,189,1,187,16,146,0.0486486486,Süssenberg,0
22,Nampolach,13,28,8,46,36,8,13.4689,46.6022,76,55,70,70,0,76,0,55,0,70,2,68,0,Toschehof,0
23,Passriach,13,26,18,46,37,12,13.4383,46.62,162,153,137,120,0,162,0,153,1,136,1,119,0,Förolach,#DIV/0!
24,Potschach,13,22,46,46,36,49,13.3794,46.6136,115,108,117,104,15,100,19,89,26,91,46,58,0.1304347826,Görtschach,#DIV/0!
25,Süssenberg,13,24,33,46,36,41,13.4092,46.6114,12,12,20,18,0,12,0,12,0,20,0,18,0,Presseggen,#DIV/0!
26,Toschehof,13,25,4,46,36,39,13.4178,46.6108,15,13,15,15,0,15,0,13,0,15,0,15,0,Schinzengraben,#DIV/0!
27,Gemeinde Görtschach,,,,,,,,,654,642,665,0,10,644,4,638,27,638,0,0,0.0152905199,Siebenbrünn,#DIV/0!
28,Förolach,13,28,17,46,37,45,13.4714,46.6292,242,244,212,190,2,240,2,242,6,206,24,166,0.0082644628,Wittenig,0
29,Görtschach,13,28,44,46,36,58,13.4789,46.6161,313,303,316,274,8,305,0,303,8,308,17,257,0.0255591054,Zuchen,0
30,Presseggen,13,27,9,46,37,44,13.4525,46.6289,0,0,35,28,0,0,0,0,0,35,1,27,#DIV/0!,Aichleiten (Achleiten),#N/A
31,Schinzengraben,13,28,55,46,37,36,13.4819,46.6267,45,42,47,40,0,45,2,40,12,35,20,20,0,Danz,#DIV/0!
32,Siebenbrünn,13,28,55,46,37,57,13.4819,46.6325,0,0,4,5,0,0,0,0,0,4,0,5,#DIV/0!,Guggenberg,#DIV/0!
33,Wittenig,13,28,41,46,37,21,13.4781,46.6225,54,53,49,58,0,54,0,53,1,48,0,58,0,Kleinbergl,#DIV/0!
34,Zuchen,13,27,42,46,38,7,13.4617,46.6353,1882,1892,1902,1912,0,0,0,0,0,2,0,6,0,Kreuth (ob Rattendorf),#DIV/0!
35,Gemeinde Guggenberg,,,,,,,,,256,247,266,0,256,0,247,0,266,0,0,0,1,Hermagor,#DIV/0!
36,Aichleiten (Achleiten),13,16,56,46,37,53,13.2822,46.6314,11,8,9,14,11,0,8,0,9,0,14,0,1,Neu-Priessenegg,#DIV/0!
37,Danz,13,17,9,46,37,35,13.2858,46.6264,30,24,25,30,30,0,24,0,25,0,30,0,1,Thurnhof,0
38,Guggenberg,13,19,32,46,37,53,13.3256,46.6314,81,80,91,79,81,0,80,0,91,0,79,0,1,Brunn,#N/A
39,Kleinbergl,13,16,20,46,37,55,13.2722,46.6319,0,0,30,30,0,0,0,0,30,0,30,0,#DIV/0!,Jadersdorf,#DIV/0!
40,Kreuth (ob Rattendorf),13,16,24,46,38,20,13.2733,46.6389,134,135,111,106,134,0,135,0,111,0,106,0,1,Langwiesen,#DIV/0!
41,Gemeinde Hermagor,,,,,,,,,690,722,832,0,690,0,722,0,832,0,0,0,1,Lassendorf,#DIV/0!
42,Hermagor,13,22,7,46,37,39,13.3686,46.6275,667,689,804,932,667,0,689,0,804,0,932,0,1,St. Lorenzen im Gitschthale,1
43,Neu-Priessenegg,13,22,8,46,37,49,13.3689,46.6303,16,16,6,16,16,0,16,0,6,0,16,0,1,Wulzentratten,0
44,Thurnhof,13,21,49,46,37,53,13.3636,46.6314,7,17,22,14,7,0,17,0,22,0,14,0,1,Bergl,#N/A
45,Gemeinde St. Lorenzen im Gitschthale,,,,,,,,,733,723,736,0,733,0,723,0,736,0,0,0,1,Kameritsch,#DIV/0!
46,Brunn,13,19,27,46,39,0,13.3242,46.65,18,10,14,8,18,0,10,0,14,0,8,0,1,Kraschach,#DIV/0!
47,Jadersdorf,13,19,8,46,39,39,13.3189,46.6608,171,190,194,207,171,0,190,0,194,0,207,0,1,Kühweg,#DIV/0!
